我	wo
時間	shi jian
被	bei
入面	ru mian
嗰個	ge ge
擺	bai
錢	qian
同埋	tong mai
只係	zhi xi
車	che
都好	dou hao
仔	zai
咁多	gan duo
在	zai
驚	jing
最	zui
啫	zhe
雖然	sui ran
一樣	yi yang
原來	yuan lai
起	qi
阿媽	a ma
從	cong
唔可以	wu ke yi
番	fan
唔使	wu shi
女仔	nv zai
有冇	you mao
小	xiao
次	ci
由	you
中	zhong
整	zheng
聽到	ting dao
媽咪	ma mi
乜嘢	mie ye
除	chu
仲有	zhong you
帶	dai
張	zhang
感覺	gan jue
聲	sheng
叁	san
說	shuo
我係	wo xi
天	tian
女	nv
不	bu
嗱	na
之前	zhi qian
頭	tou
係呀	xi ya
即刻	ji ke
都會	dou hui
或者	huo zhe
他	ta
她	ta
記得	ji de
突然	tu ran
請	qing
其他	qi ta
第一	di yi
連	lian
太	tai
後	hou
不如	bu ru
佢嘅	qu kai
時	shi
靚	jing
油	you
跌	die
畀我	bi wo
撚	nian
亦都	yi dou
爸	ba
日	ri
成	cheng
繼續	ji xu
今晚	jin wan
開心	kai xin
㗎嘞	jia le
試	shi
姐	jie
最後	zui hou
我嘅	wo kai
水	shui
今次	jin ci
令	ling
爸爸	ba ba
當	dang
唔想	wu xiang
一直	yi zhi
班	ban
一陣	yi zhen
呢度	ne du
陣	zhen
一次	yi ci
上面	shang mian
你哋	ni die
望住	wang zhu
慢慢	man man
家姐	jia jie
放	fang
小姐	xiao jie
你嘅	ni kai
點樣	dian yang
文	wen
怕	pa
面	mian
睇下	di xia
覺	jue
頭先	tou xian
終於	zhong yu
幾多	ji duo
有人	you ren
快啲	kuai di
五	wu
佑	you
月	yue
寫	xie
畀你	bi ni
新	xin
就算	jiu suan
字	zi
做咩	zuo mie
來	lai
生	sheng
一路	yi lu
少少	shao shao
好好	hao hao
爛	lan
啱	yan
愛	ai
落去	luo qu
抹	mo
以前	yi qian
喊	han
先生	xian sheng
肯	ken
完全	wan quan
涼	liang
嗰啲	ge di
搭	da
道	dao
二	er
決定	jue ding
老	lao
明	ming
若	ruo
政府	zheng fu
地方	di fang
信	xin
我同	wo tong
年	nian
出去	chu qu
哥哥	ge ge
腳	jiao
竟然	jing ran
定	ding
另	ling
需要	xu yao
點知	dian zhi
低	di
前	qian
耐	nai
唔識	wu shi
公仔	gong zai
希望	xi wang
說話	shuo hua
唔同	wu tong
過去	guo qu
畀佢	bi qu
痛	tong
神	shen
捉	zhuo
唔該	wu gai
高	gao
發現	fa xian
世界	shi jie
傾	qing
位	wei
重	zhong
哈哈	ha ha
學校	xue xiao
莊	zhuang
男人	nan ren
房	fang
當然	dang ran
球	qiu
而且	er qie
媽媽	ma ma
送	song
心	xin
龍	long
跟	gen
之	zhi
鬼	gui
男仔	nan zai
發生	fa sheng
地下	di xia
個月	ge yue
做乜	zuo mie
下面	xia mian
所有	suo you
唔得	wu de
學	xue
中間	zhong jian
眼	yan
一啲	yi di
身	shen
聽日	ting ri
出現	chu xian
星期	xing qi
算	suan
砌	qi
色	se
可	ke
嘻	xi
拍	pai
一下	yi xia
丫	ya
一個人	yi ge ren
街	jie
攞	luo
平時	ping shi
意思	yi si
根本	gen ben
嗯	n
書	shu
也	ye
畀人	bi ren
小小	xiao xiao
食飯	shi fan
工	gong
添	tian
長	zhang
同學	tong xue
係呢	xi ne
畫	hua
咦	yi
量詞	liang ci
收	shou
句	ju
於是	yu shi
女人	nv ren
清楚	qing chu
啲人	di ren
口	kou
點啊	dian a
身邊	shen bian
返屋己	fan wu ji
返屋企	fan wu qi
所	suo
狗	gou
盤	pan
更	geng
機會	ji hui
響	xiang
多謝	duo xie
第二	di er
轉	zhuan
跑	pao
幾個	ji ge
於	yu
醫生	yi sheng
一句	yi ju
諗住	shen zhu
仲要	zhong yao
全部	quan bu
啱啱	yan yan
一邊	yi bian
你好	ni hao
種	zhong
唉	ai
答	da
準備	zhun bei
離開	li kai
一刻	yi ke
陪	pei
撞	zhuang
夠	gou
只	zhi
四	si
名	ming
老豆	lao dou
梗係	geng xi
教	jiao
嗰陣	ge zhen
本	ben
返工	fan gong
搞到	gao dao
估	gu
一日	yi ri
唱	chang
面前	mian qian
起身	qi shen
定係	ding xi
力	li
嗎	ma
媽	ma
同時	tong shi
其	qi
妹妹	mei mei
我自己	wo zi ji
邇個	er ge
戴	dai
𧦠	e
人哋	ren die
右	you
難	nan
屋	wu
身體	shen ti
細	xi
叔	shu
唔記得	wu ji de
晚	wan
返去	fan qu
好耐	hao nai
單	dan
跳	tiao
情況	qing kuang
一定要	yi ding yao
叻	le
緊要	jin yao
十	shi
全	quan
門	men
等我	deng wo
抱	bao
同事	tong shi
咬	yao
講嘢	jiang ye
真	zhen
部	bu
似	shi
小心	xiao xin
更加	geng jia
你呢	ni ne
和	he
生活	sheng huo
王	wang
黃	huang
錯	cuo
先至	xian zhi
我個	wo ge
打開	da kai
經過	jing guo
賣	mai
入去	ru qu
有時	you shi
唔多	wu duo
貓	mao
就要	jiu yao
本身	ben shen
讀	du
任何	ren he
假	jia
相信	xiang xin
明白	ming bai
打算	da suan
相	xiang
成個	cheng ge
加	jia
辦法	ban fa
由於	you yu
聲音	sheng yin
社會	she hui
殺	sha
老母	lao mu
早	zao
只有	zhi you
做嘢	zuo ye
停	ting
非常	fei chang
污糟	wu zao
交	jiao
摸	mo
歲	sui
理	li
嘅話	kai hua
反應	fan ying
所謂	suo wei
安	an
學生	xue sheng
分鐘	fen zhong
救	jiu
另一	ling yi
不斷	bu duan
志	zhi
至	zhi
頭髮	tou fa
他人	ta ren
對唔住	dui wu zhu
究竟	jiu jing
又係	you xi
巴士	ba shi
約	yue
男	nan
特別	te bie
細𡀔	xi lu
兜	dou
粵語	yue yu
衝	chong
隔籬	ge li
鬧	nao
拖	tuo
秀	xiu
唔通	wu tong
老婆	lao po
關係	guan xi
工作	gong zuo
插	cha
留	liu
乖	guai
變	bian
裏面	li mian
既	ji
中國	zhong guo
幾時	ji shi
鞋	xie
重要	zhong yao
吾	wu
蚊	wen
飛	fei
男朋友	nan peng you
輝	hui
門口	men kou
越	yue
粵	yue
塊	kuai
支	zhi
都可以	dou ke yi
每	mei
嬲	niao
少	shao
揀	jian
你自己	ni zi ji
個個	ge ge
上去	shang qu
電視	dian shi
剪	jian
之間	zhi jian
其他人	qi ta ren
到底	dao di
拉	la
淨係	jing xi
攬	lan
生意	sheng yi
個鐘	ge zhong
把	ba
傻	sha
計	ji
細佬	xi lao
吖嘛	ya ma
細妹	xi mei
有錢	you qian
吹	chui
粒	li
着	zhe
後面	hou mian
唔敢	wu gan
點頭	dian tou
打電話	da dian hua
妖	yao
波	bo
扮	ban
唔夠	wu gou
好彩	hao cai
六	liu
老師	lao shi
惟有	wei you
頂	ding
香	xiang
八	ba
電腦	dian nao
生日	sheng ri
哈	ha
阿哥	a ge
忍唔住	ren wu zhu
陳	chen
擔心	dan xin
外	wai
不停	bu ting
雞	ji
唔見	wu jian
明明	ming ming
出聲	chu sheng
飯	fan
梳	shu
仍然	reng ran
當時	dang shi
變成	bian cheng
煮	zhu
回應	hui ying
杯	bei
只要	zhi yao
係咩	xi mie
簡單	jian dan
仲未	zhong wei
眼前	yan qian
㗎喇	jia la
幾日	ji ri
得意	de yi
個位	ge wei
㗎嘛	jia ma
便	bian
嗰度	ge du
袋	dai
冇事	mao shi
東	dong
拜拜	bai bai
廁所	ce suo
得到	de dao
手指	shou zhi
周	zhou
結婚	jie hun
師姐	shi jie
客	ke
直接	zhi jie
差唔多	cha wu duo
解釋	jie shi
女朋友	nv peng you
同一	tong yi
套	tao
原因	yuan yin
上次	shang ci
路	lu
七	qi
舊	jiu
日日	ri ri
哇	wa
紅	hong
緊張	jin zhang
一種	yi zhong
醒	xing
兄弟	xiong di
肯定	ken ding
之外	zhi wai
啖	dan
之下	zhi xia
德	de
怪	guai
敢	gan
以後	yi hou
刷	shua
擦	ca
即時	ji shi
然	ran
美	mei
痕	hen
仲係	zhong xi
勤	qin
禮拜	li bai
呢樣	ne yang
彈	dan
一早	yi zao
刀	dao
係噉	xi dan
公園	gong yuan
噉就	dan jiu
架	jia
易	yi
依	yi
因	yin
正常	zheng chang
方面	fang mian
怪物	guai wu
大概	da gai
辛苦	xin ku
美國	mei guo
黑	hei
警察	jing cha
味	wei
歌	ge
九	jiu
爭	zheng
前面	qian mian
一定會	yi ding hui
線	xian
冇乜	mao mie
收到	shou dao
位置	wei zhi
借	jie
幾好	ji hao
比較	bi jiao
唔理	wu li
周圍	zhou wei
估唔到	gu wu dao
一聲	yi sheng
到時	dao shi
擠	ji
我唔知	wo wu zhi
再次	zai ci
立即	li ji
唔肯	wu ken
攰	gui
二十	er shi
眼神	yan shen
影響	ying xiang
返到	fan dao
舒服	shu fu
算係	suan xi
阿明	a ming
翻	fan
肉	rou
場	chang
大學	da xue
成功	cheng gong
白色	bai se
最好	zui hao
好食	hao shi
寧	ning
會同	hui tong
乾淨	qian jing
能力	neng li
睇到	di dao
係唔係	xi wu xi
飛機	fei ji
方法	fang fa
閂	shuan
得閒	de xian
妹	mei
瞓	fen
份	fen
褲	ku
一時	yi shi
多啲	duo di
加上	jia shang
好想	hao xiang
哎吔	ai ye
呢道	ne dao
差	cha
執	zhi
阿妹	a mei
叫做	jiao zuo
故事	gu shi
好意	hao yi
喪屍	sang shi
爬	pa
穿	chuan
對方	dui fang
本來	ben lai
呢位	ne wei
者	zhe
努力	nu li
戲	xi
我們	wo men
靠	kao
求	qiu
嘛	ma
馬	ma
老闆	lao ban
一切	yi qie
惟	wei
令到	ling dao
喵	miao
老公	lao gong
講到	jiang dao
埋去	mai qu
發	fa
是	shi
思	si
換	huan
玩	wan
好奇	hao qi
熱	re
依然	yi ran
指	zhi
表情	biao qing
感情	gan qing
夜	ye
實	shi
樹	shu
咧	lie
無論	wu lun
勁	jin
幫手	bang shou
級	ji
結果	jie guo
大陸	da lu
我話	wo hua
能夠	neng gou
等等	deng deng
十幾	shi ji
亂	luan
止不過	zhi bu guo
吊	diao
親	qin
火	huo
譬如	pi ru
婆婆	po po
自然	zi ran
恐怖	kong bu
後生	hou sheng
唔啱	wu yan
幾耐	ji nai
紅色	hong se
好啦	hao la
奶奶	nai nai
臉	lian
方	fang
面對	mian dui
果然	guo ran
踢	ti
餐	can
萬	wan
雙手	shuang shou
桂	gui
山	shan
已	yi
臭	chou
李	li
利	li
衰	shuai
反而	fan er
有事	you shi
中學	zhong xue
三十	san shi
抌	dan
其中	qi zhong
敬	jing
認真	ren zhen
俊	jun
要求	yao qiu
方向	fang xiang
睇住	di zhu
點算	dian suan
應承	ying cheng
燈	deng
花	hua
數	shu
從來	cong lai
接	jie
裏	li
呢隻	ne zhi
附近	fu jin
一般	yi ban
中意	zhong yi
好唔好	hao wu hao
轉身	zhuan shen
廿	nian
看	kan
支持	zhi chi
似乎	shi hu
樂	le
友	you
追	zhui
卻	que
今年	jin nian
大叫	da jiao
輸	shu
豎	shu
一條	yi tiao
份人	fen ren
始終	shi zhong
心情	xin qing
曾經	ceng jing
肥	fei
細個	xi ge
嘅嘢	kai ye
幾年	ji nian
踩	cai
精神	jing shen
大聲	da sheng
選擇	xuan ze
遊戲	you xi
陣間	zhen jian
火車	huo che
並	bing
放心	fang xin
去咗	qu zuo
炒	chao
介紹	jie shao
半	ban
樓梯	lou ti
實係	shi xi
站	zhan
諗起	shen qi
牙	ya
國家	guo jia
遠	yuan
永遠	yong yuan
壞	huai
出面	chu mian
嘉	jia
推	tui
呢排	ne pai
包	bao
有無	you wu
樓下	lou xia
扯	che
甚至	shen zhi
人地	ren di
好意思	hao yi si
放學	fang xue
受	shou
我知	wo zhi
做得	zuo de
機	ji
直到	zhi dao
嘅人	kai ren
雪糕	xue gao
秒	miao
興奮	xing fen
拎住	lin zhu
曬	shai
㗎啦	jia la
掛住	gua zhu
保護	bao hu
喐	yu
港人	gang ren
手機	shou ji
人生	ren sheng
接受	jie shou
唔好意思	wu hao yi si
間房	jian fang
蘋果	ping guo
總之	zong zhi
發出	fa chu
發覺	fa jue
手上	shou shang
貨	huo
變得	bian de
父母	fu mu
識得	shi de
既然	ji ran
冇嘢	mao ye
血	xue
代表	dai biao
筆	bi
搽	cha
每日	mei ri
曳	ye
而係	er xi
堂	tang
讀書	du shu
做到	zuo dao
一百	yi bai
大佬	da lao
基本	ji ben
何	he
絕對	jue dui
唔明	wu ming
游	you
香港人	xiang gang ren
圍	wei
喂	wei
玩具	wan ju
魚	yu
早餐	zao can
拿	na
奇怪	qi guai
感受	gan shou
鐘	zhong
距離	ju li
幸福	xing fu
眼淚	yan lei
哎	ai
改變	gai bian
揸	zha
師父	shi fu
計劃	ji hua
叔叔	shu shu
餐廳	can ting
與	yu
嘴	zui
𠶧	dian
掂	dian
嚮	xiang
佬	lao
嚇	xia
掛	gua
噚晚	xun wan
流	liu
多次	duo ci
自殺	zi sha
冇得	mao de
甩	shuai
老細	lao xi
嘈	cao
無人	wu ren
冇人	mao ren
孝	xiao
廣東	guang dong
開口	kai kou
姨姨	yi yi
發展	fa zhan
電影	dian ying
英文	ying wen
尷尬	gan ga
還	hai
酒店	jiu dian
興趣	xing qu
另外	ling wai
禮物	li wu
之中	zhi zhong
講話	jiang hua
轆	lu
唔知道	wu zhi dao
煩	fan
病	bing
最近	zui jin
解決	jie jue
處	chu
十五	shi wu
即使	ji shi
行埋	xing mai
雨	yu
身上	shen shang
實在	shi zai
平	ping
普通	pu tong
容易	rong yi
紙	zhi
今朝	jin chao
內	nei
主人	zhu ren
正當	zheng dang
闆	ban
每一	mei yi
黑色	hei se
記住	ji zhu
甜	tian
一份	yi fen
仆街	pu jie
咩嘢	mie ye
感	gan
點會	dian hui
夜晚	ye wan
寶	bao
第一次	di yi ci
班長	ban zhang
雲	yun
多年	duo nian
糖	tang
試過	shi guo
毒	du
盒	he
抽	chou
個頭	ge tou
性	xing
得出	de chu
一段	yi duan
穿過	chuan guo
將來	jiang lai
奶	nai
政	zheng
超	chao
旅行	lv xing
攻擊	gong ji
貴	gui
好玩	hao wan
屎	shi
忙	mang
晴	qing
小朋友	xiao peng you
處理	chu li
遮	zhe
消失	xiao shi
可惜	ke xi
賢	xian
休息	xiu xi
可愛	ke ai
返學	fan xue
金	jin
左右	zuo you
倉	cang
號	hao
有得	you de
心諗	xin shen
音樂	yin le
口水	kou shui
意見	yi jian
遇	yu
近	jin
照顧	zhao gu
琴	qin
走去	zou qu
意	yi
英國	ying guo
做人	zuo ren
的士	de shi
坐低	zuo di
第	di
呢次	ne ci
我仲	wo zhong
能	neng
嗰陣時	ge zhen shi
旁邊	pang bian
邊有	bian you
通常	tong chang
魔	mo
存在	cun zai
好冇	hao mao
左邊	zuo bian
啞	ya
同人	tong ren
分別	fen bie
攪𠶧	jiao dian
搞𠶧	gao dian
搞掂	gao dian
業	ye
飽	bao
消息	xiao xi
好過	hao guo
回憶	hui yi
留意	liu yi
理由	li you
唔緊要	wu jin yao
室	shi
垃圾	la ji
慘	can
白	bai
經濟	jing ji
好少	hao shao
髮	fa
最多	zui duo
人類	ren lei
年前	nian qian
讓	rang
盡	jin
放工	fang gong
一手	yi shou
令人	ling ren
咀	ju
某	mou
蛋糕	dan gao
離	li
昇	sheng
升	sheng
危險	wei xian
底	di
太陽	tai yang
角	jiao
細聲	xi sheng
用力	yong li
青	qing
現實	xian shi
搶	qiang
乜都	mie dou
像	xiang
肚餓	du e
馬上	ma shang
遲	chi
冇錯	mao cuo
唔錯	wu cuo
自從	zi cong
十分	shi fen
唔要	wu yao
轉頭	zhuan tou
動作	dong zuo
急	ji
樓	lou
大個	da ge
外國	wai guo
膊頭	bo tou
要有	yao you
考慮	kao lv
麻煩	ma fan
爆	bao
的確	de que
銀行	yin xing
一點	yi dian
眼鏡	yan jing
如	ru
短	duan
段	duan
魔法	mo fa
未必	wei bi
少女	shao nv
變咗	bian zuo
真正	zhen zheng
安排	an pai
老實	lao shi
好睇	hao di
嫁	jia
使	shi
忽然	hu ran
詩	shi
做咗	zuo zuo
我哋嘅	wo die kai
言	yan
熊	xiong
至於	zhi yu
住喺	zhu xi
都得	dou de
係啦	xi la
原本	yuan ben
武	wu
失去	shi qu
唔少	wu shao
阿婆	a po
負責	fu ze
夢	meng
對於	dui yu
各位	ge wei
環境	huan jing
唔鍾意	wu zhong yi
噚日	xun ri
無奈	wu nai
試下	shi xia
切	qie
靚仔	jing zai
答案	da an
沖	chong
牆	qiang
意識	yi shi
霜	shuang
檯	tai
襪	wa
科技	ke ji
對付	dui fu
得嘞	de lei
瞬間	shun jian
比賽	bi sai
區	qu
距	ju
排	pai
市場	shi chang
記憶	ji yi
心機	xin ji
分手	fen shou
又要	you yao
有心	you xin
錄	lu
提	ti
腰	yao
一係	yi xi
出街	chu jie
恨	hen
國人	guo ren
射	she
每次	mei ci
全身	quan shen
主動	zhu dong
唔係呀	wu xi ya
微笑	wei xiao
酒	jiu
上堂	shang tang
清	qing
笑容	xiao rong
姨	yi
相當	xiang dang
港	gang
懷疑	huai yi
橙	cheng
再見	zai jian
居然	ju ran
嘅啫	kai zhe
冬	dong
人工	ren gong
准	zhun
受到	shou dao
驚訝	jing ya
靚女	jing nv
控制	kong zhi
麪	mian
放低	fang di
運動	yun dong
惟一	wei yi
服務	fu wu
好心	hao xin
沙漠	sha mo
明顯	ming xian
外面	wai mian
細細	xi xi
副	fu
家人	jia ren
關心	guan xin
尾	wei
行開	xing kai
語氣	yu qi
軒轅	xuan yuan
片	pian
照	zhao
作	zuo
隊	dui
就真	jiu zhen
夾	jia
皮	pi
甘	gan
書包	shu bao
再加	zai jia
安全	an quan
自	zi
派	pai
自由	zi you
無啦啦	wu la la
良	liang
喇嘛	la ma
冷靜	leng jing
結	jie
零	ling
氣	qi
廣東話	guang dong hua
快樂	kuai le
樽	zun
報紙	bao zhi
解	jie
食完	shi wan
光	guang
靜	jing
招呼	zhao hu
女神	nv shen
一時間	yi shi jian
茶	cha
終點	zhong dian
應	ying
嘗試	chang shi
響度	xiang du
呼吸	hu xi
回	hui
太太	tai tai
窿	long
𥥅	kong
校服	xiao fu
電	dian
語	yu
喲	yo
贏	ying
進入	jin ru
趕	gan
劍	jian
爹爹	die die
首先	shou xian
方便	fang bian
鎖匙	suo shi
幾十	ji shi
偷	tou
之際	zhi ji
上前	shang qian
放棄	fang qi
婚	hun
嗌	ai
底褲	di ku
渣	zha
貼	tie
好人	hao ren
碗	wan
仲好	zhong hao
邇度	er du
事實	shi shi
點鐘	dian zhong
兩句	liang ju
鴨	ya
一步	yi bu
有機	you ji
反正	fan zheng
一向	yi xiang
出發	chu fa
咪	mi
觀察	guan cha
基本上	ji ben shang
改	gai
溫柔	wen rou
除咗	chu zuo
值得	zhi de
沙	sha
生仔	sheng zai
痛苦	tong ku
經理	jing li
遇到	yu dao
十萬	shi wan
右邊	you bian
唔需要	wu xu yao
介意	jie yi
起碼	qi ma
耳仔	er zai
功課	gong ke
廚房	chu fang
條女	tiao nv
施	shi
無事	wu shi
細𡀔仔	xi lu zai
責任	ze ren
犀利	xi li
大哥	da ge
最大	zui da
仆	pu
一身	yi shen
唔畀	wu bi
內心	nei xin
尬	ga
尷	gan
拍拖	pai tuo
沖涼	chong liang
例如	li ru
天氣	tian qi
日本	ri ben
裝	zhuang
股	gu
雙	shuang
原諒	yuan liang
校長	xiao zhang
探	tan
豬	zhu
開門	kai men
背	bei
屋己人	wu ji ren
屋企人	wu qi ren
畢業	bi ye
行到	xing dao
一部	yi bu
圓	yuan
半年	ban nian
鐸	duo
表哥	biao ge
充滿	chong man
關	guan
現在	xian zai
或	huo
核突	he tu
今	jin
人家	ren jia
硬	ying
臺	tai
台	tai
篇	pian
對面	dui mian
搬	ban
串	chuan
網上	wang shang
性格	xing ge
相反	xiang fan
左手	zuo shou
考試	kao shi
紮	za
愛情	ai qing
鐘頭	zhong tou
綁	bang
客氣	ke qi
鳥	niao
經歷	jing li
法	fa
動物	dong wu
感到	gan dao
租	zu
上來	shang lai
拆	chai
班人	ban ren
櫈	deng
打比	da bi
綠色	lv se
下次	xia ci
多數	duo shu
表現	biao xian
剩	sheng
獨立	du li
早就	zao jiu
得喇	de la
船	chuan
呢種	ne zhong
豪	hao
噖晚	yin wan
熟	shu
嘅事	kai shi
教授	jiao shou
將會	jiang hui
深	shen
多個	duo ge
傷害	shang hai
一千	yi qian
祖先	zu xian
想要	xiang yao
暖	nuan
態度	tai du
表	biao
遺書	yi shu
幻想	huan xiang
傳	chuan
地鐵	di tie
多時	duo shi
梗	geng
遲到	chi dao
完成	wan cheng
死人	si ren
朗	lang
壓力	ya li
一世	yi shi
大約	da yue
點做	dian zuo
講真	jiang zhen
有機會	you ji hui
使乜	shi mie
輕輕	qing qing
忍	ren
情緒	qing xu
人士	ren shi
享受	xiang shou
一片	yi pian
咁啱	gan yan
提出	ti chu
腦海	nao hai
一家	yi jia
一半	yi ban
失蹤	shi zong
十二	shi er
習慣	xi guan
離婚	li hun
忘記	wang ji
封	feng
故	gu
上個	shang ge
滿足	man zu
背後	bei hou
機場	ji chang
歡迎	huan ying
中心	zhong xin
專登	zhuan deng
玻璃	bo li
丁	ding
總	zong
百	bai
接近	jie jin
老人	lao ren
槍	qiang
噖日	yin ri
後來	hou lai
蜘蛛	zhi zhu
目標	mu biao
去邊	qu bian
冇問題	mao wen ti
粉紅	fen hong
一張	yi zhang
毛巾	mao jin
報警	bao jing
雙眼	shuang yan
無理	wu li
絡	luo
市民	shi min
認識	ren shi
得返	de fan
大部	da bu
扣	kou
行動	xing dong
視線	shi xian
投資	tou zi
天晴	tian qing
千祈	qian qi
及	ji
朝早	chao zao
吸引	xi yin
講得	jiang de
西裝	xi zhuang
查	cha
塔	ta
腦	nao
熊仔	xiong zai
手臂	shou bi
姓	xing
目光	mu guang
當年	dang nian
一口氣	yi kou qi
實際	shi ji
對話	dui hua
家庭	jia ting
成績	cheng ji
款	kuan
變態	bian tai
礙	ai
大話	da hua
鏡	jing
報	bao
同樣	tong yang
右手	you shou
出口	chu kou
未有	wei you
至得	zhi de
期待	qi dai
藥	yao
出來	chu lai
再講	zai jiang
情	qing
啩	gua
唧	ji
一年	yi nian
文化	wen hua
小學	xiao xue
資料	zi liao
大力	da li
窗	chuang
考	kao
五十	wu shi
背脊	bei ji
味道	wei dao
正正	zheng zheng
乾	qian
暗	an
極	ji
阻止	zu zhi
畫面	hua mian
化	hua
霞	xia
子	zi
枝	zhi
嚴重	yan zhong
豆	dou
當中	dang zhong
目的	mu de
眼睛	yan jing
肚	du
梳化	shu hua
基	ji
己	ji
往	wang
棵	ke
芝	zhi
狀態	zhuang tai
仔女	zai nv
起來	qi lai
鋪	pu
賺	zhuan
速度	su du
飲茶	yin cha
噼	pi
永	yong
正一	zheng yi
氣氛	qi fen
冇用	mao yong
層	ceng
你先	ni xian
震	zhen
第二個	di er ge
高層	gao ceng
老爺	lao ye
伸出	shen chu
少爺	shao ye
話題	hua ti
藍色	lan se
佢哋嘅	qu die kai
大叔	da shu
落雨	luo yu
一場	yi chang
隨便	sui bian
先係	xian xi
通知	tong zhi
蛇	she
澳門	ao men
回答	hui da
傾計	qing ji
跪	gui
誤會	wu hui
強	qiang
靈	ling
中文	zhong wen
警方	jing fang
地點	di dian
政治	zheng zhi
西	xi
次次	ci ci
龜	gui
暫時	zan shi
有種	you zhong
相機	xiang ji
生存	sheng cun
關於	guan yu
煙	yan
朱古力	zhu gu li
阿嫂	a sao
淫	yin
係喇	xi la
互相	hu xiang
活動	huo dong
逼	bi
反	fan
百萬	bai wan
有點	you dian
一眼	yi yan
師兄	shi xiong
拒絕	ju jue
走出	zou chu
咳	ke
認得	ren de
鼻	bi
池	chi
走廊	zou lang
係都	xi dou
只會	zhi hui
語言	yu yan
武器	wu qi
趁	chen
溫書	wen shu
菜	cai
讚	zan
節目	jie mu
咖啡	ka fei
唔算	wu suan
好聽	hao ting
潮	chao
幾次	ji ci
後悔	hou hui
脾氣	pi qi
晝	zhou
音	yin
器	qi
立刻	li ke
聽講	ting jiang
才	cai
做法	zuo fa
至少	zhi shao
無謂	wu wei
身份	shen fen
扶	fu
道理	dao li
親戚	qin qi
屬於	shu yu
無聊	wu liao
權	quan
生命	sheng ming
河	he
特登	te deng
悶	men
后	hou
汁	zhi
地圖	di tu
妖怪	yao guai
事業	shi ye
熟悉	shu xi
正式	zheng shi
第三	di san
激動	ji dong
千祈唔好	qian qi wu hao
課室	ke shi
第日	di ri
汗	han
第一個	di yi ge
單車	dan che
岩	yan
講下	jiang xia
風	feng
好多時	hao duo shi
嘢食	ye shi
拎	lin
響起	xiang qi
包括	bao kuo
攪	jiao
唔關	wu guan
城	cheng
燒	shao
碟	die
冇辦法	mao ban fa
毫無	hao wu
章	zhang
班房	ban fang
意外	yi wai
事情	shi qing
想像	xiang xiang
吻	wen
隨時	sui shi
阻住	zu zhu
留低	liu di
刺激	ci ji
直程	zhi cheng
揭	jie
安慰	an wei
伸手	shen shou
按	an
不可	bu ke
有關	you guan
企	qi
座	zuo
講緊	jiang jin
做錯	zuo cuo
一套	yi tao
唔舒服	wu shu fu
屍體	shi ti
條件	tiao jian
幾乎	ji hu
重新	zhong xin
國旗	guo qi
步	bu
紙巾	zhi jin
簿	bu
很	hen
虎	hu
茅屋	mao wu
城市	cheng shi
真心	zhen xin
呢幾日	ne ji ri
他們	ta men
求其	qiu qi
